#,वग्ग,छेच्क्,,,,नाम,छेच्क्,,,,,,तोतल्,दोने,लेफ़्त्,मेमोरिज़े
६९,,,२,२,९,गोलियानिसुत्त,,☆,,,६९: एकूनसत्तति,,,,,
७०,,,२,२,१०,कीटागिरिसुत्त,,☆,,,७०: सत्तति,,,,,
७१,परिब्बाजकवग्गो,,२,३,१,तेविज्जवच्छसुत्त,,☆,,,७१: एकसत्तति,,,,,
७२,,,२,३,२,अग्गिवच्छसुत्त,,☆,,,"७२: द्विसत्तति, द्वासत्तति, द्वेसत्तति",,,,,
७३,,,२,३,३,महावच्छसुत्त,,☆,,,"७३: तेसत्तति, तिसत्तति",,,,,
७४,,,२,३,४,दीघनखसुत्त,,☆,,,७४: चतुसत्तति,,,,,
७५,,,२,३,५,मागण्डियसुत्त,,☆,,,७५: पञ्चसत्तति,,,,,
७६,,,२,३,६,सन्दकसुत्त,,☆,,,७६: छसत्तति,,,,,
७७,,,२,३,७,महासकुलुदायिसुत्त,,☆,☆,"за что чтут татхагату, и метафоры основных достижений",७७: सत्तसत्तति,,,,,
७८,,,२,३,८,समणमुण्डिकसुत्त,,☆,☆,,७८: अट्ठसत्तति,,,,,
७९,,,२,३,९,चूळसकुलुदायिसुत्त,,☆,☆,светлячок,७९: एकूनासीति,,,,,
८०,,,२,३,१०,वेखनससुत्त,,☆,☆,светлячок,"८०: असीति,",,,,,
८१,राजवग्गो,,२,४,१,घटिकारसुत्त,,☆,,,८१: एकासीति,,,,,
८२,,,२,४,२,रट्ठपालसुत्त,,☆,,,"८२: द्वे-असीति, द्वासीति, दियासीति",,,,,
८३,,,२,४,३,मघदेवसुत्त,,☆,,,"८३: ते-आसीति, तियासीति",,,,,
८४,,,२,४,४,मधुरसुत्त,,☆,,,"८४: चतुरासीति, चुल्लासीति",,,,,
८५,,,२,४,५,बोधिराजकुमारसुत्त,,☆,,,८५: पञ्चासीति,,,,,
८६,,,२,४,६,अङ्गुलिमालसुत्त,,☆,,,८६: छासीति,,,,,
८७,,,२,४,७,पियजातिकसुत्त,,☆,☆,любовь,८७: सत्तासीति,,,,,
८८,,,२,४,८,बाहितिकसुत्त,,☆,☆,,८८: अट्ठासीति,,,,,
८९,,,२,४,९,धम्मचेतियसुत्त,,☆,☆,,८९: एकूननवुति,,,,,
९०,,,२,४,१०,कण्णकत्थलसुत्त,,☆,☆,,९०: नवुति,,,,,
९१,ब्राह्मणवग्गो,,२,५,१,ब्रह्मायुसुत्त,,☆,,,९१: एकनवुति,,,,,
९२,,,२,५,२,सेलसुत्त,,☆,,,"९२: द्विनवुति, द्वानवुति, द्वेनवुति",,,,,
९३,,,२,५,३,अस्सलायनसुत्त,,☆,,,"९३: तिनवुति, तेनवुति",,,,,
९४,,,२,५,४,घोटमुखसुत्त,,☆,☆,"после париниббаны, не принимать прибежище в монахах",९४: चतुनवुति,,,,,
९५,,,२,५,५,चङ्कीसुत्त,,☆,,,९५: पञ्चनवुति,,,,,
९६,,,२,५,६,एसुकारीसुत्त,,☆,,,९६: छन्नवुति,,,,,
९७,,,२,५,७,धनञ्जानिसुत्त,,☆,,,९७: सत्तनवुति,,,,,
९८,,,२,५,८,वासेट्ठसुत्त,,☆,,,९८: अट्ठनवुति,,,,,
९९,,,२,५,९,सुभसुत्त,,☆,,,९९: एकूनसतं < १००: ऊनकसतं,,,,,
१००,,,२,५,१०,सङ्गारवसुत्त,,☆,,,"१००: सतं, एकसतं",,,,,
१०१,उपरिपण्णासक / देवदहवग्गो,,३,१,१,देवदहसुत्त,,☆,,,"१०१: एकाधिसतं, एकुत्तरसतं",,,,,
१०२,,,३,१,२,पञ्चत्तयसुत्त,,☆,☆,,"१०२: द्वाधिसतं, द्वि-उत्तरसतं",,,,,
१०३,,,३,१,३,किन्तिसुत्त,,☆,,,"१०३: तयाधिसतं, तयुत्तरसतं",,,,,
१०४,,,३,१,४,सामगामसुत्त,,☆,,,१०४: चतुत्तरसतं,,,,,
१०५,,,३,१,५,सुनक्खत्तसुत्त,,☆,,,१०५: पञ्चुत्तरसतं,,,,,
१०६,,,३,१,६,आनेञ्जसप्पायसुत्त,,☆,,,,,,,,
१०७,,,३,१,७,गणकमोग्गल्लानसुत्त,,☆,,,,,,,,
१०८,,,३,१,८,गोपकमोग्गल्लानसुत्त,,☆,,,१०८: अट्ठुत्तरसतं,,,,,
१०९,,,३,१,९,महापुण्णमसुत्त,,☆,,,,,,,,
११०,,,३,१,१०,चूळपुण्णमसुत्त,,☆,☆,,११०: दससतं,,,,,
१११,अनुपदवग्गो,,३,२,१,अनुपदसुत्त,,☆,,,१११: एकादससतं,,,,,
११२,,,३,२,२,छब्बिसोधनसुत्त,,☆,,,,,,,,
११३,,,३,२,३,सप्पुरिससुत्त,,☆,☆,,,,,,,
११४,,,३,२,४,सेवितब्बासेवितब्बसुत्त,,☆,,,,,,,,
११५,,,३,२,५,बहुधातुकसुत्त,,☆,,,,,,,,
११६,,,३,२,६,इसिगिलिसुत्त,,☆,☆,५०० пачеккабудд,,,,,,
११७,,,३,२,७,महाचत्तारीसकसुत्त,,☆,,,,,,,,
११८,,,३,२,८,आनापानस्सतिसुत्त,,☆,☆,,,,,,,
११९,,,३,२,९,कायगतासतिसुत्त,,☆,,,,,,,,
१२०,,,३,२,१०,सङ्खारुपपत्तिसुत्त,,☆,,,"१२०: वीसुत्तरसतं, वीसवस्ससतं",,,,,
१२१,सुञ्ञतवग्गो,,३,३,१,चूळसुञ्ञतसुत्त,,☆,,,,,,,,
१२२,,,३,३,२,महासुञ्ञतसुत्त,,☆,,,,,,,,
१२३,,,३,३,३,अच्छरियअब्भुतसुत्त,,☆,,,,,,,,
१२४,,,३,३,४,बाकुलसुत्त,,☆,,,,,,,,
१२५,,,३,३,५,दन्तभूमिसुत्त,,☆,,,,,,,,
१२६,,,३,३,६,भूमिजसुत्त,,☆,☆,"८ метафор раст масло, молоко, сливочное масло и огонь",,,,,,
१२७,,,३,३,७,अनुरुद्धसुत्त,,☆,,,,,,,,
१२८,,,३,३,८,उपक्किलेससुत्त,,☆,,,,,,,,
१२९,,,३,३,९,बालपण्डितसुत्त,,☆,,,,,,,,
१३०,,,३,३,१०,देवदूतसुत्त,,☆,,,,,,,,
१३१,विभङ्गवग्गो,,३,४,१,भद्देकरत्तसुत्त,,☆,☆,,,,,,,
१३२,,,३,४,२,आनन्दभद्देकरत्तसुत्त,,☆,,,,,,,,
१३३,,,३,४,३,महाकच्चानभद्देकरत्तसुत्त,,☆,,,,,,,,
